,전용면적(㎡),계약일,거래금액(만원),층,건축년도,구,동,평,계약년,계약월,한강,건물나이,재건축,단지명
271650,3.860940215,16,10.08585078,1.386294361,1972,22,311,2.791165108,2015,7,0.6931471806,43,0.6931471806,장미(203-14)
271662,5.763182818,18,11.3504183,1.945910149,1972,22,311,4.660604893,2015,4,0.6931471806,43,0.6931471806,정우
271665,4.841190475,25,11.00211651,2.48490665,1976,22,311,3.749504076,2015,8,0.6931471806,39,0.6931471806,제일
271666,5.317507061,1,11.57120381,2.079441542,1996,22,311,4.219507705,2015,2,0.6931471806,19,0,중앙하이츠(A)
272010,5.317040981,15,11.93164238,1.791759469,1973,22,292,4.218036035,2014,12,0,41,0.6931471806,남산힐레지던스
272011,3.956422593,11,7.601402335,1.945910149,1969,22,292,2.884800713,2014,11,0,45,0.6931471806,용산동아파트
272016,4.439587745,7,10.98530967,2.197224577,2002,22,292,3.353406718,2015,1,0,13,0,이태원(이테크빌)
272030,4.043051268,31,10.2399955,2.302585093,1996,22,292,2.970414466,2014,12,0,18,0,창덕아파트
272031,4.451436086,23,10.85901823,1.791759469,1996,22,292,3.36729583,2015,5,0,19,0,창덕아파트
272051,4.992131823,10,11.40535139,1.791759469,1982,22,292,3.897924081,2015,4,0,33,0.6931471806,청화1
272074,5.505128263,17,11.91839724,2.197224577,2001,22,326,4.404277244,2015,6,0,14,0,SK청암대(64-29)
272075,4.132763672,14,10.27508559,2.397895273,2004,22,51,3.054001182,2015,2,0,11,0,목화
272076,4.453300237,8,10.37352243,1.791759469,2004,22,51,3.36729583,2014,10,0,10,0,아이딜
272077,4.242908235,2,10.27508559,2.48490665,2003,22,188,3.161246712,2014,12,0,11,0,베르체
272079,4.145354483,7,10.32551475,1.945910149,2003,22,188,3.068052935,2014,11,0,11,0,한울글로리B
272081,4.75079318,27,11.38510346,2.63905733,2007,22,295,3.658420247,2014,10,0,7,0,대우월드마크용산
272082,4.581338453,17,11.20844983,2.197224577,2007,22,295,3.493472658,2015,2,0,8,0,대우월드마크용산
272087,4.046553898,20,9.787009914,2.079441542,1970,22,295,2.970414466,2015,5,0,45,0.6931471806,삼각아파트
272089,4.095510549,13,10.04111679,2.302585093,1970,22,295,3.020424886,2015,6,0,45,0.6931471806,삼각아파트
272090,3.593744259,2,10.28878397,2.302585093,1970,22,295,2.541601993,2015,7,0,45,0.6931471806,삼각아파트
272127,5.258068125,30,12.47227952,3.713572067,2012,22,303,4.160444364,2015,6,0,3,0,아스테리움용산
272146,3.423610976,28,9.975854725,2.890371758,2004,22,303,2.379546134,2015,4,0,11,0,한강로대우아이빌
272147,3.467297183,8,10.08167558,2.772588722,2004,22,303,2.415913778,2015,5,0,11,0,한강로대우아이빌
272156,4.775925106,13,11.51293546,3.433987204,2007,22,315,3.683866912,2014,10,0.6931471806,7,0,시티파크(2단지)
272167,4.343415736,1,10.8685875,2.772588722,2003,22,315,3.261935314,2015,3,0.6931471806,12,0,쌍용스윗닷홈
272209,4.054563692,14,10.04329297,2.197224577,1974,22,315,2.980618636,2015,7,0.6931471806,41,0.6931471806,원효전자상가
272210,3.93084476,24,10.34177474,2.302585093,1993,22,315,2.862200881,2015,7,0.6931471806,22,0,전자타운한신(A)
272216,5.160261468,26,11.94471437,3.091042453,2004,22,315,4.063885355,2014,11,0.6931471806,10,0,한강대우트럼프월드3
272220,4.242620879,11,10.71443999,3.33220451,2006,22,315,3.161246712,2014,11,0.6931471806,8,0,한강자이에클라트
272232,4.712678394,17,11.21856783,1.791759469,2006,22,331,3.621670704,2014,10,0,8,0,대성이태리하우스
272235,5.140317622,28,11.67844838,2.302585093,2006,22,331,4.043051268,2015,4,0,9,0,대성이태리하우스
272237,5.231215563,16,11.88449592,2.302585093,2002,22,331,4.133565275,2015,2,0,13,0,로얄튼빌라
272238,5.111264635,18,11.84940484,2.397895273,2002,22,331,4.014579594,2015,4,0,13,0,로얄튼빌라
272243,4.751605464,18,11.00211651,2.397895273,2001,22,331,3.660994251,2015,3,0,14,0,리버탑
272256,3.379633204,25,9.661479684,2.48490665,1970,22,331,2.341805806,2015,3,0,45,0.6931471806,성아1
272257,3.822754538,2,10.06479825,2.772588722,1970,22,331,2.76000994,2015,4,0,45,0.6931471806,성아1
272260,4.403543478,20,10.72548958,1.791759469,2001,22,331,3.317815773,2015,1,0,14,0,스카이빌2
272285,4.352340324,24,10.94201362,2.302585093,1976,22,331,3.269568939,2014,9,0,38,0.6931471806,장미1
272299,5.504449033,9,13.52782982,2.079441542,2011,22,331,4.404277244,2015,1,0,4,0,한남더힐
272309,5.486061694,26,13.33747637,2.079441542,2011,22,331,4.385769621,2015,5,0,4,0,한남더힐
272344,3.968970286,5,10.81979828,2.48490665,2004,22,331,2.895911938,2015,2,0,11,0,한남동리첸시아
272374,4.425369848,4,11.23850178,2.48490665,2011,22,331,3.339321978,2015,5,0,4,0,한남파라곤
272375,4.626833826,3,10.59665973,2.197224577,1970,22,331,3.538056564,2015,8,0,45,0.6931471806,한남하우스
272392,4.889694779,24,11.48247657,2.397895273,2003,22,331,3.795489189,2015,3,0,12,0,한남힐스테이트
272406,4.014218518,5,10.2399955,2.302585093,1974,22,331,2.939161922,2014,9,0,40,0.6931471806,한성1
272407,3.466048354,8,9.821246597,2.397895273,1974,22,331,2.415913778,2014,12,0,40,0.6931471806,한성1
272408,4.758234562,19,10.72987546,1.945910149,1974,22,331,3.666122467,2015,1,0,41,0.6931471806,한성1
272409,3.815512105,27,10.1266711,2.397895273,1974,22,331,2.753660712,2015,1,0,41,0.6931471806,한성1
272411,3.487375078,30,9.798182591,2.397895273,1974,22,331,2.442347035,2015,3,0,41,0.6931471806,한성1
272416,3.406516543,29,9.680406499,1.386294361,1974,22,331,2.360854001,2015,8,0,41,0.6931471806,한성1
272417,3.941387614,3,10.40429314,2.833213344,1998,22,331,2.87356464,2015,4,0,17,0,현대안성타워
272419,4.454114711,17,10.8685875,2.708050201,1998,22,331,3.36729583,2015,6,0,17,0,현대안성타워
