경기번호,팀명,홈_어웨이
276,GS칼텍스,1
276,흥국생명,0
277,한국도로공사,0
277,현대건설,1
278,KGC인삼공사,0
278,흥국생명,1
279,GS칼텍스,0
279,IBK기업은행,1
280,KGC인삼공사,1
280,한국도로공사,0
281,IBK기업은행,1
281,현대건설,0
282,한국도로공사,0
282,흥국생명,1
283,GS칼텍스,1
283,KGC인삼공사,0
284,현대건설,1
284,흥국생명,0
285,GS칼텍스,0
285,한국도로공사,1
286,IBK기업은행,0
286,흥국생명,1
287,KGC인삼공사,1
287,현대건설,0
288,IBK기업은행,1
288,한국도로공사,0
289,GS칼텍스,1
289,흥국생명,0
290,IBK기업은행,1
290,KGC인삼공사,0
291,GS칼텍스,1
291,현대건설,0
292,한국도로공사,1
292,흥국생명,0
293,IBK기업은행,0
293,현대건설,1
294,KGC인삼공사,1
294,한국도로공사,0
295,GS칼텍스,1
295,IBK기업은행,0
296,현대건설,0
296,흥국생명,1
297,GS칼텍스,0
297,KGC인삼공사,1
298,IBK기업은행,1
298,흥국생명,0
299,GS칼텍스,1
299,한국도로공사,0
300,KGC인삼공사,0
300,현대건설,1
301,IBK기업은행,0
301,한국도로공사,1
302,KGC인삼공사,0
302,흥국생명,1
303,한국도로공사,1
303,현대건설,0
304,GS칼텍스,0
304,흥국생명,1
305,IBK기업은행,0
305,KGC인삼공사,1
306,한국도로공사,1
306,현대건설,0
307,GS칼텍스,0
307,IBK기업은행,1
308,KGC인삼공사,1
308,현대건설,0
309,한국도로공사,0
309,흥국생명,1
310,GS칼텍스,1
310,KGC인삼공사,0
311,IBK기업은행,0
311,흥국생명,1
312,GS칼텍스,0
312,현대건설,1
313,KGC인삼공사,0
313,한국도로공사,1
314,IBK기업은행,1
314,한국도로공사,0
315,KGC인삼공사,1
315,흥국생명,0
316,IBK기업은행,1
316,현대건설,0
317,GS칼텍스,0
317,한국도로공사,1
318,현대건설,1
318,흥국생명,0
319,GS칼텍스,0
319,IBK기업은행,1
320,KGC인삼공사,0
320,현대건설,1
321,KGC인삼공사,0
321,한국도로공사,1
322,현대건설,0
322,흥국생명,1
323,IBK기업은행,1
323,KGC인삼공사,0
324,GS칼텍스,1
324,한국도로공사,0
325,IBK기업은행,0
325,현대건설,1
326,한국도로공사,1
326,흥국생명,0
327,GS칼텍스,0
327,KGC인삼공사,1
328,한국도로공사,0
328,현대건설,1
329,IBK기업은행,1
329,흥국생명,0
330,KGC인삼공사,1
330,흥국생명,0
331,GS칼텍스,1
331,현대건설,0
332,IBK기업은행,0
332,한국도로공사,1
333,GS칼텍스,0
333,흥국생명,1
334,한국도로공사,1
334,현대건설,0
335,GS칼텍스,1
335,IBK기업은행,0
336,KGC인삼공사,0
336,한국도로공사,1
337,현대건설,1
337,흥국생명,0
338,IBK기업은행,0
338,KGC인삼공사,1
339,GS칼텍스,0
339,흥국생명,1
340,KGC인삼공사,1
340,현대건설,0
341,IBK기업은행,1
341,한국도로공사,0
342,GS칼텍스,0
342,현대건설,1
343,한국도로공사,1
343,흥국생명,0
344,IBK기업은행,1
344,현대건설,0
345,GS칼텍스,1
345,KGC인삼공사,0
346,IBK기업은행,0
346,흥국생명,1
347,GS칼텍스,0
347,한국도로공사,1
348,KGC인삼공사,0
348,흥국생명,1
349,IBK기업은행,0
349,현대건설,1
350,GS칼텍스,1
350,한국도로공사,0
351,IBK기업은행,1
351,흥국생명,0
352,KGC인삼공사,0
352,현대건설,1
353,IBK기업은행,0
353,한국도로공사,1
354,GS칼텍스,1
354,흥국생명,0
355,KGC인삼공사,1
355,한국도로공사,0
356,GS칼텍스,1
356,현대건설,0
357,한국도로공사,0
357,흥국생명,1
358,IBK기업은행,1
358,KGC인삼공사,0
359,현대건설,0
359,흥국생명,1
360,GS칼텍스,1
360,IBK기업은행,0
361,KGC인삼공사,1
361,흥국생명,0
362,한국도로공사,0
362,현대건설,1
363,GS칼텍스,0
363,KGC인삼공사,1
364,IBK기업은행,0
364,흥국생명,1
365,IBK기업은행,1
365,흥국생명,0
366,IBK기업은행,0
366,흥국생명,1
367,GS칼텍스,1
367,흥국생명,0
368,GS칼텍스,1
368,흥국생명,0
369,GS칼텍스,0
